player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Rodney Harris II,133616,WR,OHIO,6,15,0,259,0,-2.0,0,100.0,,0,0,0.0,0,0,0,86.7,55.8,0,1,0.0,0,8,2,100.0,8,79.2,2,25.0,0,1,5,2.5,0.5,0.13,16.0,1,100.0,,0,0,0.0,0,1,0,85.9,58.5,0,34,0.0,0,10,1,90.0,9,118.8,1,11.1,0,34,18,18.0,34.0,3.78
Jayvontay Conner,172510,TE,E CAROLINA,6,15,0,156,0,0.0,1,100.0,,0,0,0.0,0,1,0,86.7,66.6,0,11,21.7,5,23,2,78.3,18,102.1,2,11.1,0,17,17,8.5,8.5,0.94,11.5,2,63.6,50.0,1,2,0.0,0,6,0,85.1,79.7,0,79,0.0,0,52,7,94.2,49,137.5,11,22.4,1,159,99,14.1,22.7,3.24
Andrew Marsh,198804,WR,MICHIGAN,6,15,0,222,0,-2.0,0,100.0,,0,0,0.0,0,0,0,90.0,69.5,0,10,0.0,0,10,3,100.0,10,95.8,3,30.0,0,21,27,9.0,7.0,2.1,10.9,0,85.7,100.0,1,1,0.0,0,4,0,85.1,73.7,0,32,0.0,0,23,6,100.0,23,118.8,7,30.4,0,116,52,8.7,19.3,5.04
Ja'Mori Maclin,124211,WR,KENTUCKY,5,15,0,202,0,,0,,,0,0,,0,0,0,,39.9,0,0,0.0,0,23,0,100.0,23,0.0,0,0.0,0,0,0,,,0.0,22.0,0,0.0,,0,0,,0,0,0,44.0,60.5,0,0,0.0,0,21,0,95.2,20,39.6,1,5.0,0,0,0,,,0.0
Jesse Watson,183727,WR,PURDUE,6,15,0,273,0,-4.0,0,0.0,,0,0,100.0,1,0,0,0.0,28.4,0,0,0.0,0,6,0,100.0,6,39.6,1,16.7,0,0,0,,,0.0,14.5,0,21.4,50.0,2,4,57.1,4,3,0,14.2,55.8,0,24,0.0,0,80,3,96.3,77,65.5,14,18.2,1,49,0,0.0,16.3,0.64
Nic Anderson,158090,WR,LSU,6,15,0,211,0,0.0,1,100.0,,0,0,0.0,0,1,0,81.5,55.9,0,9,0.0,0,17,1,88.2,15,104.2,1,6.7,0,9,9,9.0,9.0,0.6,7.5,0,100.0,,0,0,0.0,0,0,0,58.6,62.4,0,7,0.0,0,9,2,88.9,8,125.0,2,25.0,1,9,0,0.0,4.5,1.13
Antwan Raymond,190489,HB,RUTGERS,6,15,0,278,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0,0,82.7,69.3,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
AJ Jones,158729,WR,MIDDLE TN,6,15,0,224,0,,0,,,0,0,,0,0,0,,44.7,0,0,0.0,0,11,0,100.0,11,0.0,0,0.0,0,0,0,,,0.0,10.0,0,0.0,,0,0,,0,0,0,55.5,49.3,0,0,0.0,0,26,0,100.0,26,39.6,2,7.7,0,0,0,,,0.0
Elijah Sessoms,164548,TE,DELAWARE,5,15,0,151,0,,0,,,0,0,,0,0,0,,41.7,0,0,14.3,2,14,0,85.7,12,0.0,0,0.0,0,0,0,,,0.0,9.6,0,42.9,40.0,2,5,25.0,1,1,0,59.1,47.2,0,9,2.4,2,84,3,88.1,74,50.3,7,9.5,0,18,3,1.0,6.0,0.24
Tyson Davis,145702,WR,C MICHIGAN,6,15,0,134,0,-4.0,0,100.0,,0,0,0.0,0,0,0,90.0,56.1,0,4,0.0,0,9,3,100.0,9,79.2,3,33.3,0,5,17,5.7,1.7,0.56,9.5,2,80.0,100.0,2,2,0.0,0,6,0,84.7,73.5,0,33,1.7,1,59,12,94.9,56,126.7,15,26.8,1,136,47,3.9,11.3,2.43
Theo Melin Ohrstrom,158662,TE,TEXAS A&M,6,15,0,312,0,-2.0,0,100.0,,0,0,0.0,0,0,0,81.5,46.9,0,0,46.2,6,13,1,53.8,7,79.2,1,14.3,0,0,2,2.0,0.0,0.0,8.0,1,100.0,,0,0,0.0,0,2,0,67.8,67.8,0,14,0.0,0,21,2,95.2,20,118.8,2,10.0,0,27,11,5.5,13.5,1.35
Christian Fitzpatrick,122707,WR,OKLA STATE,6,15,0,262,0,-3.0,2,100.0,,0,0,0.0,0,0,0,86.7,52.3,0,1,0.0,0,11,2,100.0,11,79.2,2,18.2,0,0,6,3.0,0.0,0.0,-2.0,1,100.0,,0,0,0.0,0,0,0,17.8,46.7,0,-1,0.0,0,5,1,100.0,5,79.2,1,20.0,0,-1,1,1.0,-1.0,-0.2
Jonathan Bibbs,190005,WR,LA MONROE,6,15,0,209,0,-4.0,6,100.0,,0,0,0.0,0,3,0,95.2,96.1,0,35,0.0,0,11,8,100.0,11,142.2,8,72.7,1,69,101,12.6,8.6,6.27,10.6,1,75.0,,0,0,0.0,0,3,0,84.7,75.3,0,27,0.0,0,42,6,97.6,41,129.7,8,19.5,1,49,34,5.7,8.2,1.2
DJ Vonnahme,189695,TE,IOWA,6,15,0,192,0,-2.0,0,100.0,,0,0,0.0,0,1,0,86.7,67.3,0,21,7.1,1,14,2,92.9,13,108.3,2,15.4,0,20,24,12.0,10.0,1.54,5.6,0,63.6,100.0,3,3,22.2,2,3,0,33.2,54.3,0,21,0.0,0,39,7,100.0,39,75.9,11,28.2,0,55,27,3.9,7.9,1.41
Jordan King,158320,WR,CAL,6,15,0,130,0,-2.0,0,100.0,,0,0,0.0,0,0,0,81.5,42.7,0,5,0.0,0,14,1,100.0,14,87.5,1,7.1,0,5,7,7.0,5.0,0.36,10.3,0,63.6,50.0,2,4,0.0,0,5,0,82.7,63.0,0,22,1.6,1,63,7,90.5,57,88.1,11,19.3,0,87,6,0.9,12.4,1.53
Horatio Fields,144188,WR,AUBURN,4,15,0,115,0,,0,,,0,0,,0,0,0,,43.5,0,0,0.0,0,11,0,100.0,11,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,73.6,66.9,0,0,0.0,0,8,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0
Quin Smith,173880,WR,AIR FORCE,5,15,0,101,0,,0,,,0,0,,0,0,0,,52.2,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,77.5,84.0,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Marcello Bussey,169936,WR,MEMPHIS,6,15,0,218,0,0.0,0,100.0,,0,0,0.0,0,0,0,81.5,48.2,0,-1,9.1,1,11,1,90.9,10,79.2,1,10.0,0,-1,-1,-1.0,-1.0,-0.1,23.5,0,100.0,,0,0,0.0,0,1,0,57.1,68.0,0,40,0.0,0,16,2,100.0,16,118.8,2,12.5,0,57,10,5.0,28.5,3.56
Tre Williams III,186580,TE,N TEXAS,6,15,0,251,0,-3.3,0,66.7,,0,0,0.0,0,0,0,90.0,40.9,0,5,12.9,4,31,2,83.9,26,70.1,3,11.5,0,7,11,5.5,3.5,0.27,0.6,0,80.0,,0,0,0.0,0,3,0,71.9,58.7,0,10,5.7,3,53,4,88.7,47,129.6,5,10.6,2,28,25,6.3,7.0,0.6
Benji Gosnell,157639,TE,VA TECH,7,15,0,337,0,0.0,0,100.0,,0,0,0.0,0,0,0,81.5,42.9,0,0,26.7,4,15,1,73.3,11,79.2,1,9.1,0,0,0,0.0,0.0,0.0,7.9,1,66.7,66.7,2,3,11.1,1,4,0,62.5,49.8,0,18,3.1,3,98,8,90.8,89,82.3,12,13.5,0,71,14,1.8,8.9,0.8
Takye Heath,174787,WR,VA TECH,4,15,0,337,0,-0.8,0,80.0,,0,0,0.0,0,0,0,91.4,60.2,0,5,0.0,0,7,4,100.0,7,79.2,5,71.4,0,8,18,4.5,2.0,1.14,5.4,1,73.3,0.0,0,1,8.3,1,5,0,67.6,66.4,1,23,0.0,0,87,11,93.1,81,83.5,15,18.5,1,93,38,3.5,8.5,1.15
Eni Falayi,147417,TE,WAKE,6,15,0,339,0,-2.0,1,100.0,,0,0,0.0,0,1,0,81.5,46.0,0,11,18.4,7,38,1,76.3,29,112.5,1,3.4,0,11,13,13.0,11.0,0.38,9.7,0,100.0,100.0,1,1,0.0,0,1,0,55.5,55.9,0,17,2.3,1,44,3,90.9,40,116.7,3,7.5,0,36,7,2.3,12.0,0.9
Ramone Green Jr.,171449,HB,MO STATE,6,15,0,230,0,-4.0,2,87.5,100.0,1,1,0.0,0,2,0,94.5,94.1,0,55,0.0,0,14,7,100.0,14,118.2,8,57.1,0,99,126,18.0,14.1,7.07,,0,,,0,0,,0,0,0,86.7,89.8,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
