player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Danny Scudero,170781,WR,S JOSE ST,6,89,0,285,0,-2.6,1,88.9,,0,0,11.1,1,4,0,57.7,85.3,0,10,0.0,0,18,8,100.0,18,121.5,9,50.0,2,33,52,6.5,4.1,1.83,13.6,9,59.5,37.5,3,8,17.0,9,27,1,41.8,76.5,0,70,0.0,0,234,44,94.9,222,124.0,74,33.3,7,725,210,4.8,16.5,3.27
Jordyn Tyson,157690,WR,ARIZONA ST,6,74,0,110,0,-2.6,2,91.7,,0,0,0.0,0,5,1,98.1,80.4,0,19,0.0,0,45,11,93.3,42,120.8,12,28.6,1,76,106,9.6,6.9,1.81,10.5,1,60.9,50.0,1,2,6.7,1,6,0,90.6,84.1,0,36,0.0,0,66,14,89.4,59,90.7,23,39.0,1,129,64,4.6,9.2,2.19
Easton Messer,163051,WR,FAU,6,74,0,165,0,-2.0,1,82.6,,0,0,0.0,0,5,1,99.9,74.1,0,18,0.0,0,42,19,100.0,42,82.2,23,54.8,0,86,147,7.7,4.5,2.05,6.1,3,75.7,57.1,4,7,1.9,1,23,1,91.1,74.9,3,55,0.4,1,227,53,95.2,216,81.5,70,32.4,1,495,253,4.8,9.3,2.29
Pofele Ashlock,158166,WR,HAWAII,7,72,0,180,0,-1.3,3,87.5,,0,0,0.0,0,2,0,94.5,66.1,0,8,0.0,0,26,7,100.0,26,121.9,8,30.8,1,30,38,5.4,4.3,1.15,8.8,7,58.3,28.6,2,7,14.6,6,21,0,60.3,61.7,2,47,0.0,0,311,35,94.5,294,94.0,60,20.4,6,344,94,2.7,9.8,1.17
Trent Walker,146340,WR,OREGON ST,7,70,0,265,0,-1.2,1,100.0,,0,0,0.0,0,1,0,92.6,51.5,0,9,0.0,0,38,5,100.0,38,89.2,5,13.2,0,27,33,6.6,5.4,0.71,11.0,3,64.0,25.0,1,4,15.8,3,11,0,72.6,66.3,2,30,0.0,0,109,16,95.4,104,56.4,25,24.0,0,206,80,5.0,12.9,1.98
Skyler Bell,145163,WR,UCONN,6,67,0,146,0,-2.6,2,93.8,,0,0,0.0,0,2,1,99.1,62.4,0,12,0.0,0,34,15,97.1,33,86.5,16,48.5,0,76,117,7.8,5.1,2.3,5.3,0,84.0,50.0,1,2,4.5,1,9,2,85.3,79.1,0,46,0.0,0,74,21,94.6,70,128.8,25,35.7,2,213,140,6.7,10.1,3.04
Ted Hurst,187922,WR,GA STATE,6,65,0,175,0,-2.7,5,100.0,,0,0,0.0,0,3,0,96.5,84.2,0,14,0.0,0,31,10,93.5,29,92.1,10,34.5,0,61,88,8.8,6.1,2.1,11.9,4,41.7,50.0,2,4,28.6,2,5,0,47.2,73.6,1,27,0.0,0,39,5,92.3,36,56.3,12,33.3,1,76,20,4.0,15.2,2.11
Makai Lemon,174150,WR,USC,6,56,0,326,0,-1.9,5,100.0,,0,0,0.0,0,6,0,97.6,92.4,0,21,0.0,0,38,12,100.0,38,109.0,12,31.6,0,122,145,12.1,10.2,3.21,12.4,10,69.4,66.7,4,6,0.0,0,18,0,90.0,93.5,1,74,0.0,0,114,25,94.7,108,140.0,36,33.3,5,469,214,8.6,18.8,4.34
Jacquon Gibson,158762,WR,UMASS,5,55,0,216,0,-2.6,4,88.9,,0,0,11.1,1,1,0,57.7,57.8,0,11,0.0,0,19,8,100.0,19,79.2,9,47.4,0,16,37,4.6,2.0,0.84,3.0,3,100.0,100.0,1,1,0.0,0,4,0,71.1,72.0,0,13,0.0,0,26,8,100.0,26,91.7,8,30.8,0,48,24,3.0,6.0,1.85
O'Mega Blake,146913,WR,ARKANSAS,6,54,0,111,0,0.5,0,100.0,,0,0,0.0,0,1,0,86.7,63.1,0,22,0.0,0,13,2,100.0,13,118.8,2,15.4,0,26,25,12.5,13.0,2.0,23.5,1,25.0,0.0,0,1,0.0,0,1,0,87.6,77.6,0,33,0.0,0,15,1,93.3,14,61.5,4,28.6,0,33,7,7.0,33.0,2.36
Lewis Bond,143817,WR,BOSTON COL,6,54,0,121,0,-2.9,4,90.9,,0,0,9.1,1,1,0,65.9,73.5,0,11,0.0,0,20,10,100.0,20,89.4,11,55.0,0,60,89,8.9,6.0,3.0,6.1,6,79.4,100.0,1,1,0.0,0,10,0,92.6,71.0,0,19,0.0,0,151,27,96.0,145,95.6,34,23.4,0,236,133,4.9,8.7,1.63
CJ Williams,158471,WR,STANFORD,6,53,0,300,0,,0,,,0,0,,0,0,0,,45.7,0,0,0.0,0,12,0,83.3,10,0.0,0,0.0,0,0,0,,,0.0,10.0,0,60.0,0.0,0,1,0.0,0,1,0,78.5,71.8,0,14,0.0,0,28,3,92.9,26,71.3,5,19.2,0,23,2,0.7,7.7,0.88
Ian Strong,170319,WR,RUTGERS,5,53,0,278,0,,0,,,0,0,,0,0,0,,50.3,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,91.3,79.8,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Chase Hendricks,171348,WR,OHIO,6,53,0,259,0,-2.5,1,100.0,,0,0,0.0,0,1,0,86.7,90.2,0,15,0.0,0,8,2,100.0,8,100.0,2,25.0,0,16,21,10.5,8.0,2.0,12.2,3,70.6,61.5,8,13,2.7,1,24,1,86.5,89.3,1,67,0.0,0,198,36,94.9,188,126.5,51,27.1,4,583,184,5.1,16.2,3.1
Camden Brown,157049,WR,GA SOUTHRN,6,52,0,174,0,-1.4,0,100.0,,0,0,0.0,0,2,0,92.6,61.3,0,16,0.0,0,43,5,100.0,43,105.0,5,11.6,0,46,53,10.6,9.2,1.07,15.1,0,60.0,100.0,3,3,0.0,0,4,0,86.5,75.3,1,32,0.0,0,43,6,100.0,43,91.7,10,23.3,2,95,24,4.0,15.8,2.21
Jayce Brown,173093,WR,KANSAS ST,7,52,0,199,0,-2.7,0,100.0,,0,0,0.0,0,0,0,90.0,53.2,0,5,0.0,0,11,3,100.0,11,81.9,3,27.3,0,11,19,6.3,3.7,1.0,11.6,1,56.3,20.0,1,5,18.2,4,9,0,58.9,60.2,0,37,0.0,0,131,18,97.7,128,98.6,32,25.0,2,221,59,3.3,12.3,1.73
Jacob De Jesus,174068,WR,CAL,6,52,0,130,0,-2.4,1,83.3,,0,0,0.0,0,4,0,96.5,58.7,0,8,0.0,0,29,10,100.0,29,81.6,12,41.4,0,43,65,6.5,4.3,1.48,10.3,8,62.1,42.9,3,7,5.3,1,9,0,64.8,61.1,2,27,0.0,0,141,18,93.6,132,51.8,29,22.0,0,186,90,5.0,10.3,1.41
Beau Sparks,173021,WR,TEXAS ST,6,52,0,314,0,-1.5,5,90.0,,0,0,0.0,0,1,0,95.9,66.4,0,19,0.0,0,28,9,96.4,27,86.3,10,37.0,0,47,61,6.8,5.2,1.74,11.6,4,76.2,0.0,0,2,0.0,0,7,1,90.2,71.9,0,65,0.0,0,75,16,90.7,68,127.1,21,30.9,1,230,94,5.9,14.4,3.38
Elijah Sarratt,159499,WR,INDIANA,6,52,0,190,0,-2.3,1,100.0,,0,0,0.0,0,2,0,91.4,78.0,0,29,0.0,0,19,4,100.0,19,116.7,4,21.1,0,48,57,14.3,12.0,2.53,9.4,2,90.9,100.0,1,1,0.0,0,8,0,80.6,89.8,0,29,0.0,0,22,10,100.0,22,158.3,11,50.0,3,152,79,7.9,15.2,6.91
Devin Voisin,97427,WR,S ALABAMA,6,51,0,288,0,-2.6,0,100.0,,0,0,0.0,0,0,0,92.6,47.2,0,4,0.0,0,33,5,100.0,33,79.2,5,15.2,0,5,18,3.6,1.0,0.15,9.7,3,88.9,100.0,2,2,5.9,1,9,0,83.6,87.1,1,48,0.0,0,55,16,96.4,53,131.9,18,34.0,3,211,69,4.3,13.2,3.98
Devin McCuin,176494,WR,UTSA,6,51,0,331,0,-1.3,6,85.7,100.0,1,1,0.0,0,5,0,98.1,73.8,0,24,0.0,0,47,12,93.6,44,130.7,14,31.8,2,82,101,8.4,6.8,1.86,10.4,1,73.3,50.0,1,2,0.0,0,6,0,69.9,70.5,1,18,0.0,0,57,11,96.5,55,81.5,15,27.3,1,86,29,2.6,7.8,1.56
Jeremiah Smith,183710,WR,OHIO STATE,6,51,0,260,0,-1.9,0,77.8,,0,0,22.2,2,2,0,21.8,54.2,0,18,0.0,0,21,7,100.0,21,119.0,9,42.9,1,33,52,7.4,4.7,1.57,1.8,4,72.7,,0,0,11.1,1,4,0,73.6,79.6,0,31,0.0,0,24,8,91.7,22,90.7,11,50.0,0,74,72,9.0,9.3,3.36
Anthony Smith,122885,WR,E CAROLINA,6,51,0,156,0,-1.4,2,100.0,,0,0,0.0,0,3,0,94.5,73.4,0,27,0.0,0,42,7,92.9,39,114.9,7,17.9,0,81,91,13.0,11.6,2.08,11.6,2,62.5,0.0,0,1,16.7,1,3,0,65.7,66.5,1,31,0.0,0,19,5,89.5,17,61.5,8,47.1,0,90,64,12.8,18.0,5.29
Chris Bell,156321,WR,LOUISVILLE,5,50,0,210,0,,0,,,0,0,,0,0,0,,44.8,0,0,0.0,0,15,0,100.0,15,0.0,0,0.0,0,0,0,,,0.0,7.0,0,50.0,0.0,0,1,0.0,0,0,0,65.3,71.5,0,4,0.0,0,20,1,90.0,18,56.3,2,11.1,0,4,0,0.0,4.0,0.22
Braylon Staley,184893,WR,TENNESSEE,6,49,0,307,0,-1.7,0,81.8,,0,0,10.0,1,1,0,65.9,69.1,0,15,0.0,0,37,9,94.6,35,86.7,11,31.4,0,53,61,6.8,5.9,1.51,9.7,1,63.4,0.0,0,3,7.1,2,16,0,40.8,64.9,1,42,0.0,0,157,26,93.0,146,88.1,41,28.1,1,346,147,5.7,13.3,2.37
KC Concepcion,170362,WR,TEXAS A&M,6,49,0,312,0,-2.0,5,100.0,,0,0,0.0,0,5,0,93.6,94.3,0,15,0.0,0,20,6,100.0,20,118.8,6,30.0,0,79,91,15.2,13.2,3.95,11.7,2,61.1,100.0,2,2,8.3,1,10,0,63.3,75.7,0,16,0.0,0,53,11,92.5,49,117.1,18,36.7,2,117,58,5.3,10.6,2.39
Hank Beatty,158198,WR,ILLINOIS,7,49,0,187,0,-0.9,4,100.0,,0,0,0.0,0,1,0,99.1,85.4,0,17,0.0,0,33,15,100.0,33,95.8,15,45.5,0,105,118,7.9,7.0,3.18,8.5,8,75.6,50.0,2,4,3.1,1,18,0,90.5,88.2,1,62,0.6,1,155,31,92.3,143,119.7,41,28.7,2,477,254,8.2,15.4,3.34
Dalen Cobb,158341,WR,GA SOUTHRN,6,49,0,174,0,-3.0,4,77.3,0.0,0,1,10.5,2,6,0,60.0,90.2,0,25,0.0,0,28,17,100.0,28,103.0,22,78.6,1,113,163,9.6,6.6,4.04,8.7,2,55.6,66.7,4,6,25.9,7,8,1,30.9,57.8,3,25,0.0,0,131,20,96.9,127,53.5,36,28.3,2,184,110,5.5,9.2,1.45
Zion Booker,177939,WR,TULSA,6,48,0,320,0,-2.2,6,92.3,0.0,0,1,0.0,0,3,0,97.6,81.5,0,36,0.0,0,20,12,100.0,20,98.1,13,65.0,0,98,123,10.3,8.2,4.9,4.7,6,74.4,0.0,0,1,5.9,2,12,0,77.7,68.9,1,17,0.6,1,170,32,94.1,160,85.4,43,26.9,1,240,164,5.1,7.5,1.5
Junior Vandeross III,163156,WR,TOLEDO,6,48,0,316,0,-2.2,6,92.9,0.0,0,1,7.1,1,3,0,75.4,93.0,0,28,0.0,0,21,13,95.2,20,115.2,14,70.0,1,83,120,9.2,6.4,4.15,7.9,7,80.0,60.0,3,5,3.4,1,16,0,84.2,88.6,2,71,0.0,0,144,28,95.1,137,124.1,35,25.5,5,350,205,7.3,12.5,2.55
Denzel Boston,162481,WR,WASHINGTON,6,48,0,340,0,-2.8,1,100.0,,0,0,0.0,0,1,0,91.4,60.8,0,13,0.0,0,32,4,100.0,32,93.8,4,12.5,0,26,37,9.3,6.5,0.81,13.1,1,61.5,66.7,2,3,0.0,0,6,0,91.2,87.5,1,26,0.0,0,37,8,100.0,37,87.0,13,35.1,1,125,43,5.4,15.6,3.38
Michael Trigg,146410,TE,BAYLOR,6,48,0,118,0,-3.0,1,100.0,,0,0,0.0,0,1,0,81.5,49.2,0,1,6.7,2,30,1,90.0,27,118.8,1,3.7,1,1,4,4.0,1.0,0.04,12.4,7,59.5,33.3,2,6,8.3,2,15,0,66.9,85.3,0,42,1.5,2,137,22,89.8,123,107.4,37,30.1,2,335,105,4.8,15.2,2.72
KJ Duff,184654,WR,RUTGERS,6,47,0,278,0,,0,,,0,0,,0,0,0,,50.3,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,13.3,0,66.7,50.0,1,2,0.0,0,2,0,82.7,75.2,0,18,0.0,0,26,2,96.2,25,102.1,3,12.0,0,32,1,0.5,16.0,1.28
Johntay Cook,131255,WR,SYRACUSE,6,47,0,304,0,-1.7,3,100.0,,0,0,0.0,0,2,0,94.5,85.8,0,8,0.0,0,16,7,100.0,16,85.1,7,43.8,0,31,43,6.1,4.4,1.94,9.2,3,75.0,60.0,3,5,6.9,2,15,2,55.1,68.3,0,59,0.0,0,176,27,94.3,166,122.8,36,21.7,2,343,155,5.7,12.7,2.07
Taz Reddicks,173734,WR,OREGON ST,7,46,0,265,0,-0.4,2,87.5,,0,0,12.5,1,3,0,21.8,68.0,0,18,0.0,0,33,7,97.0,32,104.2,8,25.0,0,72,73,10.4,10.3,2.25,11.4,5,57.1,57.1,4,7,13.0,3,13,0,47.3,69.1,0,37,0.0,0,156,20,96.2,150,81.1,35,23.3,0,264,120,6.0,13.2,1.76
Jaron Tibbs,174972,WR,KANSAS ST,7,46,0,199,0,-2.0,0,100.0,,0,0,0.0,0,0,0,81.5,48.8,0,1,0.0,0,10,1,100.0,10,79.2,1,10.0,0,1,3,3.0,1.0,0.1,9.3,1,76.9,100.0,2,2,9.1,1,6,0,59.6,63.9,0,31,0.0,0,50,10,98.0,49,102.4,13,26.5,0,113,19,1.9,11.3,2.31
Kevin Coleman Jr.,160756,WR,MISSOURI,6,46,0,229,0,-3.5,2,100.0,,0,0,0.0,0,3,0,98.6,96.2,0,20,0.0,0,18,14,100.0,18,95.8,14,77.8,0,98,147,10.5,7.0,5.44,5.7,11,85.4,83.3,5,6,0.0,0,20,0,94.1,90.3,1,50,0.7,1,136,35,97.8,133,101.1,41,30.8,1,359,214,6.1,10.3,2.7
Nick Marsh,183541,WR,MICH STATE,6,46,0,223,0,-0.8,6,80.0,,0,0,0.0,0,1,0,91.4,68.5,0,11,0.0,0,18,4,100.0,18,90.8,5,27.8,0,29,33,8.3,7.3,1.61,13.5,0,50.0,,0,0,0.0,0,1,0,67.8,68.4,0,19,0.0,0,16,1,87.5,14,83.3,2,14.3,0,19,11,11.0,19.0,1.36
Jordan Napier,175759,WR,S DIEGO ST,6,46,0,284,0,-0.9,4,100.0,,0,0,0.0,0,7,0,69.9,97.6,0,41,0.0,0,19,11,94.7,18,140.2,11,61.1,1,114,124,11.3,10.4,6.33,8.6,6,78.8,42.9,3,7,0.0,0,20,0,77.8,91.9,0,80,0.0,0,92,26,92.4,85,139.0,33,38.8,2,423,212,8.2,16.3,4.98
Ryan Davis,97321,WR,UTAH,6,46,0,328,0,-1.0,0,100.0,,0,0,0.0,0,0,0,81.5,43.9,0,4,0.0,0,19,1,100.0,19,83.3,1,5.3,0,4,5,5.0,4.0,0.21,8.1,2,87.5,100.0,1,1,4.5,1,9,0,90.1,80.9,0,56,0.0,0,58,21,91.4,53,120.7,24,45.3,1,231,59,2.8,11.0,4.36
Iverson Hooks,163020,WR,UAB,6,46,0,321,0,-3.5,0,100.0,,0,0,0.0,0,3,0,95.2,90.2,0,14,0.0,0,18,8,94.4,17,91.7,8,47.1,0,48,76,9.5,6.0,2.82,11.3,2,65.5,0.0,0,2,9.5,2,10,1,75.4,71.3,0,51,0.0,0,106,19,93.4,99,117.3,29,29.3,2,262,111,5.8,13.8,2.65
Michael Jackson III,146412,WR,PURDUE,6,45,0,273,0,-3.0,1,80.0,,0,0,20.0,1,1,1,29.3,37.8,0,4,0.0,0,33,4,97.0,32,79.2,5,15.6,0,11,24,6.0,2.8,0.34,7.0,6,81.1,60.0,6,10,6.3,2,17,2,85.2,69.1,0,31,0.0,0,205,30,93.7,192,109.5,37,19.3,1,300,113,3.8,10.0,1.56
Javon Robinson,173924,WR,GA STATE,6,45,0,175,0,-3.5,2,84.6,,0,0,8.3,1,3,1,69.2,77.8,0,13,0.0,0,24,11,91.7,22,89.7,13,59.1,0,72,112,10.2,6.5,3.27,7.0,7,62.9,0.0,0,4,8.3,2,9,1,58.1,66.5,1,44,0.0,0,167,22,95.2,159,101.3,35,22.0,3,253,172,7.8,11.5,1.59
Corey Rucker,121539,WR,ARK STATE,6,45,0,113,0,-2.3,1,66.7,0.0,0,1,0.0,0,0,0,86.7,42.5,0,2,0.0,0,34,2,97.1,33,70.1,3,9.1,0,2,8,4.0,1.0,0.06,15.3,0,37.5,0.0,0,4,0.0,0,2,0,65.7,60.1,1,50,0.0,0,44,3,93.2,41,65.1,8,19.5,1,61,6,2.0,20.3,1.49
David Wells Jr.,176410,WR,OREGON ST,7,45,0,265,0,-1.0,1,100.0,,0,0,0.0,0,1,0,93.6,54.0,0,10,0.0,0,36,6,97.2,35,80.6,6,17.1,0,20,26,4.3,3.3,0.57,7.4,0,62.5,33.3,1,3,0.0,0,2,0,91.2,62.4,0,6,0.0,0,44,5,93.2,41,106.3,8,19.5,1,18,2,0.4,3.6,0.44
Miles Coleman,190604,WR,N TEXAS,6,45,0,251,0,-1.5,1,91.7,,0,0,8.3,1,1,0,69.2,79.2,0,54,0.0,0,28,11,100.0,28,123.6,12,42.9,1,84,100,9.1,7.6,3.0,9.1,4,68.3,100.0,1,1,6.7,2,16,0,79.0,80.8,1,54,0.0,0,149,28,94.6,141,88.3,41,29.1,1,308,164,5.9,11.0,2.18
Brandon White,163781,WR,HAWAII,7,44,0,180,0,-2.8,4,100.0,,0,0,0.0,0,0,0,93.6,50.5,0,5,0.0,0,24,6,100.0,24,80.6,6,25.0,0,20,37,6.2,3.3,0.83,14.9,4,57.1,0.0,0,1,0.0,0,0,0,68.3,57.7,0,5,0.0,0,23,4,95.7,22,62.2,7,31.8,0,14,28,7.0,3.5,0.64
Cooper Barkate,159333,WR,DUKE,6,44,0,154,0,-1.0,1,100.0,,0,0,0.0,0,0,0,81.5,42.1,0,7,0.0,0,27,1,96.3,26,95.8,1,3.8,0,7,8,8.0,7.0,0.27,17.4,1,77.8,50.0,1,2,0.0,0,6,0,49.5,67.9,0,15,0.0,0,29,7,93.1,27,147.0,9,33.3,2,88,10,1.4,12.6,3.26
Josh Cameron,144513,WR,BAYLOR,6,44,0,118,0,-2.2,2,100.0,,0,0,0.0,0,1,1,92.6,43.4,0,19,0.0,0,43,5,97.7,42,102.5,5,11.9,0,43,54,10.8,8.6,1.02,-0.8,2,100.0,,0,0,0.0,0,0,2,83.4,67.7,0,19,0.0,0,15,4,93.3,14,104.2,4,28.6,0,36,39,9.8,9.0,2.57
DT Sheffield,174143,WR,RUTGERS,6,44,0,278,0,-1.0,0,100.0,,0,0,0.0,0,0,0,81.5,58.2,0,5,0.0,0,2,1,100.0,2,87.5,1,50.0,0,5,6,6.0,5.0,2.5,12.4,1,59.1,55.6,5,9,10.3,3,21,0,67.1,69.4,1,54,0.0,0,246,26,94.3,232,101.9,44,19.0,3,394,92,3.5,15.2,1.7
Justin Joly,158620,TE,NC STATE,7,44,0,248,0,-0.8,2,100.0,,0,0,0.0,0,2,0,92.6,84.7,0,18,9.1,2,22,5,90.9,20,99.2,5,25.0,0,39,43,8.6,7.8,1.95,8.9,2,56.5,28.6,2,7,7.1,1,8,0,83.2,74.0,4,21,0.0,0,110,13,94.5,104,44.7,23,22.1,1,114,24,1.8,8.8,1.1
Keagan Johnson,144848,WR,NEW MEXICO,5,44,0,241,0,-1.4,0,85.7,,0,0,14.3,1,2,0,46.4,48.2,0,24,0.0,0,31,6,100.0,31,87.5,7,22.6,0,35,44,7.3,5.8,1.13,12.3,0,42.9,0.0,0,3,25.0,1,1,0,64.0,63.7,0,14,0.0,0,25,3,96.0,24,50.3,7,29.2,0,20,8,2.7,6.7,0.83
Kwazi Gilmer,184979,WR,UCLA,6,44,0,324,0,-2.0,0,0.0,,0,0,,0,0,0,,44.3,1,0,0.0,0,14,0,92.9,13,0.0,1,7.7,0,0,0,,,0.0,18.2,0,50.0,75.0,3,4,25.0,1,3,0,72.6,67.9,0,29,0.0,0,20,3,100.0,20,118.8,6,30.0,1,51,0,0.0,17.0,2.55
Dorian Thomas,171871,TE,NEW MEXICO,6,44,0,241,0,-2.2,1,87.5,0.0,0,2,0.0,0,7,1,98.6,94.4,0,24,0.0,0,31,14,100.0,31,113.3,16,51.6,1,99,130,9.3,7.1,3.19,11.0,1,60.0,25.0,1,4,0.0,0,6,0,91.1,75.6,0,26,0.0,0,76,9,93.4,71,110.7,15,21.1,1,131,35,3.9,14.6,1.85
Jaden Barnes,173738,WR,APP STATE,6,44,0,108,0,-2.0,7,100.0,,0,0,0.0,0,4,0,95.2,94.4,0,21,0.0,0,20,8,100.0,20,95.3,8,40.0,0,55,71,8.9,6.9,2.75,10.3,8,59.4,57.1,4,7,13.6,3,11,1,59.7,72.2,1,59,0.0,0,127,19,94.5,120,102.5,32,26.7,3,251,122,6.4,13.2,2.09
Kyri Shoels,188847,WR,S JOSE ST,6,44,0,285,0,-2.3,1,100.0,,0,0,0.0,0,1,0,90.0,63.2,0,15,0.0,0,15,3,100.0,15,94.4,3,20.0,0,20,27,9.0,6.7,1.33,8.5,1,100.0,,0,0,0.0,0,1,0,83.3,68.2,0,13,0.0,0,11,2,90.9,10,108.3,2,20.0,0,20,3,1.5,10.0,2.0
Deion Burks,145107,WR,OKLAHOMA,6,43,0,261,0,-2.8,0,100.0,,0,0,0.0,0,1,0,93.6,66.0,0,9,0.0,0,25,6,100.0,25,125.0,6,24.0,1,27,44,7.3,4.5,1.08,8.1,0,70.0,100.0,2,2,0.0,0,1,0,89.7,64.7,1,21,0.0,0,50,7,100.0,50,40.4,10,20.0,0,47,44,6.3,6.7,0.94
Nahzae Cox,198818,WR,MIDDLE TN,6,43,0,224,0,-2.0,0,100.0,,0,0,0.0,0,0,0,81.5,42.0,0,5,0.0,0,27,1,100.0,27,87.5,1,3.7,0,5,7,7.0,5.0,0.19,,0,,,0,0,,0,0,0,91.8,65.2,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0
Chauncy Cobb,172187,WR,ARK STATE,6,43,0,113,0,-2.6,4,92.3,,0,0,0.0,0,4,0,98.1,92.6,0,27,0.0,0,36,12,97.2,35,99.0,13,37.1,0,101,133,11.1,8.4,2.89,6.1,5,77.1,50.0,2,4,6.9,2,13,0,70.2,69.3,1,45,0.0,0,207,27,91.3,189,93.6,35,18.5,0,329,197,7.3,12.2,1.74
Emmanuel Henderson Jr.,163595,WR,KANSAS,7,43,0,198,0,-2.6,0,100.0,,0,0,0.0,0,2,0,96.5,66.9,0,11,0.0,0,25,10,100.0,25,83.8,10,40.0,0,41,67,6.7,4.1,1.64,11.5,0,66.7,50.0,1,2,16.7,2,3,0,58.1,68.8,0,75,0.0,0,63,10,95.2,60,117.4,15,25.0,1,135,98,9.8,13.5,2.25
Isaiah Sategna III,163642,WR,OKLAHOMA,6,43,0,261,0,-2.2,8,92.3,0.0,0,1,0.0,0,5,0,97.6,94.4,0,28,0.0,0,26,12,100.0,26,130.8,13,50.0,1,120,149,12.4,10.0,4.62,8.8,12,70.7,50.0,3,6,6.5,2,16,0,79.1,78.2,1,36,0.0,0,191,29,96.9,185,107.4,41,22.2,2,396,213,7.3,13.7,2.14
Brady Boyd,127298,WR,UTAH ST,6,43,0,329,0,-0.3,2,66.7,0.0,0,1,0.0,0,1,0,90.0,59.4,0,19,0.0,0,29,2,93.1,27,88.2,3,11.1,0,22,26,13.0,11.0,0.81,14.3,1,54.8,33.3,3,9,10.5,2,12,1,58.7,66.0,0,24,0.0,0,160,17,94.4,151,96.7,31,20.5,2,204,36,2.1,12.0,1.35
Griffin Wilde,177231,WR,NWESTERN,6,43,0,256,0,,0,,,0,0,,0,0,0,,46.2,0,0,0.0,0,9,0,100.0,9,0.0,0,0.0,0,0,0,,,0.0,13.4,2,71.4,40.0,2,5,0.0,0,11,1,77.6,77.5,2,31,0.0,0,74,15,97.3,72,76.2,21,29.2,1,193,30,2.0,12.9,2.68
Gabriel Benyard,147969,WR,KENNESAW,6,43,0,200,0,-1.5,3,80.0,50.0,1,2,7.7,1,2,0,72.8,70.8,0,14,0.0,0,37,12,97.3,36,80.6,15,41.7,0,50,75,6.3,4.2,1.39,11.3,4,65.8,42.9,3,7,3.8,1,15,0,78.1,80.7,0,54,0.6,1,159,25,94.3,150,122.3,38,25.3,3,356,123,4.9,14.2,2.37
Bryant Wesco Jr.,183206,WR,CLEMSON,6,43,0,140,0,-3.3,0,100.0,,0,0,0.0,0,0,0,91.4,56.8,0,7,0.0,0,23,4,100.0,23,79.2,4,17.4,0,10,23,5.8,2.5,0.43,9.1,0,57.1,0.0,0,1,20.0,1,2,0,41.7,70.3,0,13,0.0,0,21,4,100.0,21,62.2,7,33.3,0,20,12,3.0,5.0,0.95
Mario Craver,184754,WR,TEXAS A&M,6,43,0,312,0,-2.1,8,94.1,,0,0,0.0,0,6,0,99.5,99.8,0,24,0.0,0,25,16,100.0,25,144.4,17,68.0,2,157,187,11.7,9.8,6.28,8.7,13,72.2,66.7,2,3,0.0,0,16,0,91.7,90.8,0,86,0.0,0,115,26,95.7,110,141.2,36,32.7,3,442,323,12.4,17.0,4.02
Ayden Greene,174784,WR,VA TECH,7,42,0,337,0,-2.0,0,100.0,,0,0,0.0,0,0,0,86.7,46.5,0,3,0.0,0,18,2,100.0,18,79.2,2,11.1,0,3,7,3.5,1.5,0.17,13.7,0,33.3,,0,0,0.0,0,0,0,72.7,59.1,2,0,0.0,0,8,1,87.5,7,2.8,3,42.9,0,0,2,2.0,0.0,0.0
Cam Ross,97105,WR,VIRGINIA,6,42,0,335,0,-2.9,2,100.0,,0,0,0.0,0,3,0,96.5,77.8,0,13,0.0,0,24,10,100.0,24,85.4,10,41.7,0,45,74,7.4,4.5,1.88,8.8,2,69.4,33.3,1,3,10.7,3,13,0,57.4,71.7,1,46,0.0,0,141,25,97.9,138,102.2,36,26.1,2,305,136,5.4,12.2,2.21
