player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Jadon Pearson,72538,LB,FRESNO ST,7,186,0,169,2,-0.6,60.0,71.1,21.3,12.8,0,1,20.0,76.1,0,41,12.5,1,1,97.1,3,69,37.1,97,2,5,5,0,54,54,0.8,18.0,0,2,-0.1,80.0,96.3,12.8,10.2,0,0,0.0,57.5,0,15,0.0,0,0,93.3,8,104,55.9,108,3,10,10,0,64,62,0.6,8.0
Marco Notarainni,73389,LB,BOISE ST,6,116,0,120,0,9.0,66.7,63.0,14.5,9.7,0,0,0.0,51.8,0,36,,0,0,109.7,2,34,29.3,54,0,0,3,0,40,17,1.4,20.0,0,0,3.0,80.0,80.5,15.3,12.2,0,0,0.0,68.3,0,24,25.0,1,0,100.0,4,62,53.4,77,2,3,5,0,40,29,0.7,10.0
Trent Whalen,73609,LB,ARKANSAS,4,15,0,111,0,2.0,100.0,100.0,5.0,5.0,0,0,0.0,44.4,0,18,,0,0,118.8,1,5,33.3,5,0,0,1,0,18,16,3.6,18.0,0,0,6.8,100.0,90.9,2.0,2.0,0,0,0.0,50.8,0,21,0.0,0,0,118.8,5,10,66.7,11,2,5,5,0,69,35,6.9,13.8
Gio De Leon,73658,LB,BUFFALO,2,3,0,126,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,50.0,,,0,0,,62.2,0,,0.0,0,0,0.0,0,2,66.7,4,1,1,0,0,0,0,0.0,
Taariq Al-Uqdah,74119,LB,WASHINGTON,3,80,0,340,0,8.0,33.3,78.7,43.0,14.3,0,0,0.0,64.4,0,3,0.0,0,0,42.4,1,48,60.0,61,1,2,3,0,3,3,0.1,3.0,0,0,5.0,60.0,90.6,9.3,5.6,0,0,0.0,61.1,0,25,0.0,0,0,82.9,3,29,36.3,32,2,1,5,0,37,11,1.3,12.3
Ryan Quintanar,74152,LB,USC,1,1,0,326,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,
Justin Sinclair,74258,S,HAWAII,2,16,0,180,0,16.0,0.0,100.0,,6.0,0,0,0.0,52.3,0,,,0,0,39.6,0,6,37.5,6,0,0,1,0,0,0,0.0,,0,0,8.0,100.0,100.0,4.0,4.0,0,0,0.0,64.1,0,13,0.0,0,0,110.4,2,9,56.3,9,0,2,2,0,21,5,2.6,10.5
Zion Branch,74395,S,GEORGIA,2,33,0,173,0,,,100.0,,,0,0,,63.1,0,,,0,0,0.0,0,8,24.2,8,0,0,0,0,0,0,0.0,,0,0,6.5,100.0,100.0,10.0,10.0,0,0,0.0,65.1,0,17,16.7,1,0,116.7,2,22,66.7,22,2,5,2,0,24,11,1.2,12.0
Jaymar Mundy,75041,CB,OHIO,5,34,0,259,0,,,100.0,,,0,0,,60.8,0,,,0,0,0.0,0,2,5.9,2,0,0,0,0,0,0,0.0,,0,0,18.8,60.0,100.0,9.0,5.4,0,1,20.0,54.4,0,42,0.0,0,0,143.8,3,28,82.4,28,0,2,5,1,63,9,2.3,21.0
Silas Walters,75263,S,MIAMI OH,6,237,0,221,0,13.3,43.8,98.8,10.0,4.4,0,2,12.5,63.6,0,19,20.0,1,1,94.5,7,79,33.3,80,0,4,16,2,63,11,0.9,9.0,0,1,10.1,55.6,95.5,14.6,8.1,1,2,11.1,71.1,2,19,23.1,3,2,33.3,10,149,62.9,156,3,9,18,0,106,46,0.7,10.6
