player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Moh Bility,156617,CB,RICE,1,9,0,275,0,6.5,50.0,100.0,2.0,1.0,0,0,0.0,71.0,0,5,0.0,0,0,56.3,1,2,22.2,2,0,1,2,0,5,1,2.5,5.0,0,0,20.0,100.0,100.0,7.0,7.0,0,0,0.0,48.8,0,20,,0,0,118.8,1,7,77.8,7,0,0,1,0,20,0,2.9,20.0
Ethan Wesloski,156620,LB,N TEXAS,6,66,0,251,0,-5.0,0.0,44.8,,11.0,0,0,0.0,64.3,0,,,0,0,39.6,0,13,19.7,29,1,0,1,0,0,0,0.0,,0,1,9.6,20.0,72.4,41.0,8.2,0,1,20.0,83.0,1,0,40.0,2,1,0.0,1,42,63.6,58,2,2,5,0,0,7,0.0,0.0
Cameron Robertson,156623,ED,SMU,6,8,0,287,0,,,1.6,,,0,0,,47.1,0,,,0,0,0.0,0,1,12.5,62,2,0,0,0,0,0,0.0,,0,0,9.0,100.0,4.5,6.0,6.0,0,0,0.0,50.5,0,10,,0,0,108.3,1,7,87.5,157,1,0,1,0,10,1,1.7,10.0
Ahmad Robinson,156655,CB,APP STATE,1,1,0,108,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
Keyron Crawford,156660,ED,AUBURN,6,68,0,115,0,,,14.5,,,0,0,,63.8,0,,,0,0,0.0,0,9,13.2,62,0,0,0,0,0,0,0.0,,0,0,4.5,75.0,46.2,11.0,8.3,0,0,0.0,55.5,1,11,0.0,0,0,55.2,3,36,52.9,78,5,2,4,0,29,14,0.9,9.7
Javante Mackey,156661,LB,ARK STATE,5,55,0,113,0,,,66.7,,,0,0,,61.5,0,,,0,0,0.0,0,4,7.3,6,0,0,0,0,0,0,0.0,,0,3,4.0,83.3,80.0,8.6,7.2,0,0,0.0,64.2,0,60,0.0,0,0,158.3,5,44,80.0,55,0,5,6,1,90,71,2.1,18.0
Websley Etienne,156663,S,FIU,5,102,0,166,0,9.7,66.7,90.0,11.5,7.7,0,1,33.3,64.2,0,7,0.0,0,1,74.3,2,27,26.5,30,0,1,3,0,12,1,0.5,6.0,0,1,11.3,66.7,100.0,10.2,6.8,0,2,22.2,62.1,0,36,0.0,0,2,95.1,6,64,62.7,64,1,3,9,0,81,18,1.3,13.5
James Reed III,156665,S,ARK STATE,2,14,0,113,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,67.1,0,,0.0,0,0,0.0,0,13,92.9,13,0,1,0,0,0,0,0.0,
Josiah Robinson,156669,LB,GA STATE,6,167,0,175,0,-3.0,100.0,70.2,17.0,17.0,0,0,0.0,66.3,0,10,0.0,0,0,122.9,2,40,24.0,57,2,5,2,1,8,14,0.2,4.0,0,1,6.7,75.0,88.5,9.7,7.3,0,0,0.0,45.3,0,28,0.0,0,0,112.8,9,92,55.1,104,2,7,12,0,139,79,1.6,15.4
Matthew McDoom,156676,CB,CINCINNATI,6,227,0,138,1,13.8,50.0,100.0,16.0,8.0,0,1,25.0,58.5,0,6,0.0,0,1,95.8,2,34,15.0,34,0,0,4,2,11,0,0.3,5.5,0,2,8.8,77.8,100.0,9.9,7.7,0,0,0.0,57.7,0,93,12.5,2,0,135.2,14,147,64.8,147,4,12,18,1,216,103,1.6,15.4
Elijah Hopkins,156678,CB,LIBERTY,3,37,0,206,0,10.0,50.0,100.0,6.5,3.3,0,0,0.0,54.9,0,19,0.0,0,0,67.7,2,15,40.5,15,0,1,4,0,23,7,1.8,11.5,0,0,,,100.0,,,0,0,,68.2,0,,0.0,0,0,0.0,0,17,45.9,17,0,2,0,0,0,0,0.0,
Tray Brown,156681,LB,COAST CAR,6,71,0,141,0,21.0,0.0,69.2,,8.0,0,0,0.0,47.3,0,,,0,0,39.6,0,9,12.7,13,0,0,1,0,0,0,0.0,,0,1,3.7,66.7,66.7,21.0,14.0,0,0,0.0,65.3,0,16,0.0,0,0,84.0,2,42,59.2,63,1,2,3,0,19,17,0.5,9.5
JayT Jackson,156696,CB,LA TECH,4,12,0,208,0,36.0,100.0,100.0,4.0,4.0,0,0,0.0,45.5,0,35,,0,0,158.3,1,4,33.3,4,0,0,1,1,35,0,8.8,35.0,0,0,10.0,50.0,100.0,6.0,3.0,0,0,0.0,39.8,0,40,,0,0,95.8,1,6,50.0,6,0,0,2,0,40,33,6.7,40.0
D-Icey Hopkins,156697,S,GA STATE,6,121,0,175,0,4.2,60.0,94.9,10.7,6.4,0,2,40.0,59.0,0,14,0.0,0,2,115.0,3,37,30.6,39,2,4,5,1,28,20,0.9,9.3,0,0,6.3,57.1,97.1,16.3,9.3,0,0,0.0,62.2,0,18,50.0,3,0,68.2,4,67,55.4,69,2,3,7,0,31,30,0.5,7.8
Izaiah Guy,156698,CB,USF,1,16,0,327,0,9.0,0.0,100.0,,6.0,0,0,0.0,63.7,0,,,0,0,39.6,0,6,37.5,6,0,0,1,0,0,0,0.0,,0,0,,,100.0,,,0,0,,70.6,0,,0.0,0,0,0.0,0,10,62.5,10,1,1,0,0,0,0,0.0,
JJ Johnson,156702,S,NC STATE,6,147,0,248,1,6.7,100.0,89.7,8.7,8.7,0,0,0.0,57.8,0,20,0.0,0,0,143.8,3,26,17.7,29,0,0,3,2,27,7,1.0,9.0,0,0,13.0,60.0,99.1,35.0,21.0,0,1,20.0,61.2,0,42,40.0,2,1,143.8,3,114,77.6,115,2,3,5,1,76,32,0.7,25.3
Amar Thomas,156719,ED,JAMES MAD,6,20,0,197,0,,,19.4,,,0,0,,62.7,0,,,0,0,0.0,0,6,30.0,31,0,0,0,0,0,0,0.0,,0,2,,,22.5,,,0,0,,73.2,0,,0.0,0,0,0.0,0,9,45.0,40,2,1,0,0,0,0,0.0,
Chauncey Logan Jr.,156720,CB,MEMPHIS,2,30,0,218,0,4.5,100.0,100.0,5.5,5.5,0,0,0.0,52.8,0,16,0.0,0,0,108.3,2,11,36.7,11,1,2,2,0,20,11,1.8,10.0,0,0,12.3,66.7,100.0,5.0,3.3,0,0,0.0,69.2,1,5,0.0,0,0,30.6,2,11,36.7,11,1,1,3,0,8,1,0.8,4.0
Trent Hendrick,156721,LB,JAMES MAD,6,155,0,197,1,4.6,60.0,70.2,11.7,7.0,0,1,20.0,58.3,0,19,0.0,0,1,78.8,3,40,25.8,57,2,1,5,0,32,28,0.9,10.7,0,0,2.2,80.0,88.6,14.5,11.6,0,0,0.0,65.2,0,15,16.7,1,0,97.5,4,62,40.0,70,3,5,5,0,37,38,0.6,9.3
Jacob Thomas,156722,S,JAMES MAD,6,171,0,197,1,11.7,33.3,86.2,45.0,15.0,0,0,0.0,71.4,1,-3,25.0,1,0,2.8,1,50,29.2,58,1,2,3,0,-3,2,-0.1,-3.0,0,3,4.7,85.7,92.8,10.0,8.6,0,0,0.0,56.6,0,14,16.7,1,0,140.2,6,64,37.4,69,1,2,7,1,57,39,1.0,9.5
Brent Austin,156723,CB,CAL,6,199,0,130,0,11.6,42.9,100.0,20.0,8.6,0,3,42.9,67.6,0,23,0.0,0,2,59.8,3,67,33.7,67,0,2,7,0,37,12,0.6,12.3,0,1,9.2,66.7,100.0,19.8,13.2,0,0,0.0,75.4,0,20,10.0,1,0,84.5,6,126,63.3,126,1,8,9,0,58,23,0.5,9.7
Justin Eaglin,156724,CB,JAMES MAD,6,159,0,197,1,13.4,50.0,100.0,6.7,3.4,0,3,21.4,61.0,0,52,14.3,1,3,86.6,7,50,31.4,50,0,5,14,0,144,67,3.1,20.6,0,0,0.5,100.0,100.0,14.5,14.5,0,0,0.0,72.6,0,16,0.0,0,0,102.1,4,58,36.5,58,3,5,4,0,34,32,0.6,8.5
Aiden Fisher,156725,LB,INDIANA,6,155,0,190,0,,,46.7,,,0,0,,62.2,0,,,0,0,0.0,0,7,4.5,15,0,0,0,0,0,0,0.0,,0,2,6.8,76.9,86.1,12.3,9.5,0,0,0.0,48.1,0,18,25.0,3,0,87.3,10,124,80.0,144,6,7,13,0,66,15,0.5,6.6
Tyrique Tucker,156729,DI,INDIANA,6,1,0,190,0,,,0.0,,,0,1,,68.6,0,,,0,0,0.0,0,0,0.0,9,0,0,0,0,0,0,,,0,0,,,1.1,,,0,0,,63.4,0,,0.0,0,0,0.0,0,1,100.0,94,5,4,0,0,0,0,0.0,
Collin Jacob,156744,S,LA LAFAYET,2,32,0,207,0,,,75.0,,,0,0,,61.7,0,,,0,0,0.0,0,3,9.4,4,0,0,0,0,0,0,0.0,,0,0,1.0,100.0,93.3,6.5,6.5,0,0,0.0,51.7,0,9,0.0,0,0,100.0,2,14,43.8,15,1,5,2,0,16,14,1.2,8.0
Kailep Edwards,156745,LB,LA LAFAYET,3,3,0,207,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,1,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,60.1,0,,,0,0,0.0,0,2,66.7,2,0,0,0,0,0,0,0.0,
Lorenzell Dubose,156747,CB,LA LAFAYET,2,8,0,207,0,23.0,100.0,100.0,1.0,1.0,0,0,0.0,60.0,0,23,,0,0,118.8,1,1,12.5,1,0,0,1,0,23,0,23.0,23.0,0,0,,,100.0,,,0,0,,64.7,0,,,0,0,0.0,0,7,87.5,7,0,0,0,0,0,0,0.0,
Maurion Eleam,156750,CB,LA LAFAYET,3,29,0,207,0,13.0,50.0,85.7,6.0,3.0,0,0,0.0,63.0,0,3,0.0,0,0,56.3,1,6,20.7,7,1,1,2,0,3,1,0.5,3.0,0,0,-2.0,100.0,100.0,22.0,22.0,0,0,0.0,71.7,0,-1,0.0,0,0,79.2,1,22,75.9,22,1,2,1,0,-1,1,0.0,-1.0
Markeegan Gray,156780,S,LA MONROE,2,3,0,209,0,4.0,0.0,100.0,,1.0,0,0,0.0,60.0,0,,,0,0,39.6,0,1,33.3,1,0,0,1,0,0,0,0.0,,0,0,-1.0,100.0,100.0,2.0,2.0,0,0,0.0,61.5,0,4,,0,0,83.3,1,2,66.7,2,0,0,1,0,4,5,2.0,4.0
Kenard Snyder,156781,ED,TEXAS ST,6,2,0,314,0,,,0.0,,,0,0,,60.0,0,,100.0,1,0,0.0,0,0,0.0,44,0,0,0,0,0,0,,,0,0,,,3.1,,,0,0,,61.0,0,,0.0,0,0,0.0,0,1,50.0,32,1,1,0,0,0,0,0.0,
Jacobie Henderson,156809,CB,RUTGERS,6,157,0,278,0,12.7,70.0,97.6,10.7,7.5,0,2,20.0,66.0,0,28,25.0,1,1,135.4,7,81,51.6,83,2,3,10,2,85,38,1.1,12.1,0,0,19.1,60.0,100.0,10.5,6.3,0,1,10.0,56.0,0,78,12.5,1,0,104.2,6,63,40.1,63,0,7,10,0,171,50,2.7,28.5
Leon Hart Jr.,156811,LB,FAU,5,123,0,165,2,2.0,75.0,69.8,9.0,6.8,0,0,0.0,42.4,0,27,0.0,0,0,154.2,3,30,24.4,43,2,1,4,1,48,50,1.8,16.0,0,1,6.6,55.6,91.1,14.0,7.8,0,0,0.0,55.4,0,11,0.0,0,0,60.9,5,72,58.5,79,3,4,9,0,23,10,0.3,4.6
AG McGhee,156812,S,ARK STATE,6,199,0,113,0,2.7,66.7,95.5,9.5,6.3,0,0,0.0,45.1,0,10,33.3,1,0,81.3,2,21,10.6,22,0,2,3,0,17,14,0.9,8.5,0,0,5.0,80.0,96.6,17.0,13.6,0,2,20.0,61.8,0,31,9.1,1,2,104.2,8,142,71.4,147,4,10,10,0,90,57,0.7,11.3
Dainsus Miller,156813,CB,WYOMING,6,184,0,351,0,10.3,30.0,100.0,23.3,7.0,0,3,30.0,73.4,0,18,50.0,2,3,39.6,3,74,40.2,74,2,2,10,0,17,17,0.2,5.7,0,0,16.0,60.0,100.0,22.0,13.2,0,1,20.0,72.3,0,18,20.0,1,1,75.4,3,69,37.5,69,2,4,5,0,28,15,0.4,9.3
James Smyre,156816,ED,UAB,2,1,0,321,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,3,0,0,0,0,0,0,,
Anthony Dunn Jr.,156819,ED,TOLEDO,6,12,0,316,0,,,4.5,,,0,0,,60.0,0,,,0,0,0.0,0,1,8.3,22,0,0,0,0,0,0,0.0,,0,1,,,16.7,,,0,0,,65.6,0,,0.0,0,0,0.0,0,8,66.7,48,2,2,0,0,0,0,0.0,
Mario Easterly,156823,S,DOMINION,6,164,0,263,0,,,95.7,,,0,0,,67.3,0,,,0,0,0.0,0,45,27.4,47,0,0,0,0,0,0,0.0,,0,3,16.7,33.3,94.6,101.0,33.7,0,1,33.3,65.4,1,22,40.0,2,1,20.8,1,106,64.6,112,0,0,3,0,22,1,0.2,22.0
Micheal Caraway Jr.,156841,S,FLORIDA,4,17,0,163,0,,,100.0,,,0,0,,61.5,0,,,0,0,0.0,0,4,23.5,4,0,0,0,0,0,0,0.0,,0,0,,,81.8,,,0,0,,63.2,0,,,0,0,0.0,0,9,52.9,11,0,0,0,0,0,0,0.0,
Brodarius Lewis,156845,DI,SO MISS,6,3,0,296,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,45,0,0,0,0,0,0,,,0,0,,,2.5,,,0,0,,57.6,0,,0.0,0,0,0.0,0,3,100.0,121,1,1,0,0,0,0,0.0,
Bernock Iya,156855,S,NEW MEX ST,5,148,0,242,0,30.0,0.0,93.8,,12.0,0,0,0.0,54.8,0,,,0,0,39.6,0,15,10.1,16,0,0,1,0,0,0,0.0,,0,0,6.9,86.7,97.4,8.5,7.4,0,0,0.0,61.3,0,34,13.3,2,0,100.6,13,113,76.4,116,5,13,15,0,122,77,1.1,9.4
Alonzo Edwards Jr.,156859,CB,SM HOUSTON,6,170,0,281,0,15.1,66.7,98.0,6.1,4.1,0,2,16.7,49.1,0,49,37.5,3,1,133.7,8,50,29.4,51,0,5,12,1,139,25,2.8,17.4,0,2,19.3,63.6,100.0,10.3,6.5,0,1,9.1,53.6,0,55,12.5,1,1,107.0,7,76,44.7,76,2,5,11,0,137,47,1.9,19.6
Blake Matthews,156872,LB,DELAWARE,4,73,0,151,0,-4.0,100.0,26.3,5.0,5.0,0,0,0.0,71.6,0,-3,0.0,0,0,79.2,1,5,6.8,19,1,1,1,0,-3,1,-0.6,-3.0,0,3,6.5,75.0,84.6,10.3,7.8,0,0,0.0,60.9,0,24,0.0,0,0,116.7,3,33,45.2,39,0,0,4,0,52,25,1.7,17.3
Justin Powe,156873,S,TROY,5,112,0,318,0,6.3,66.7,100.0,9.5,6.3,0,0,0.0,56.4,0,28,33.3,1,0,104.9,2,19,17.0,19,0,2,3,0,34,19,1.8,17.0,0,0,4.3,85.7,100.0,9.5,8.1,0,0,0.0,36.2,0,35,16.7,1,0,109.5,6,60,53.6,60,0,5,7,0,72,11,1.3,12.0
Nasir Pogue,156874,CB,MISSOURI,1,5,0,229,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,20.0,1,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,52.7,0,,0.0,0,0,0.0,0,3,60.0,3,0,1,0,0,0,0,0.0,
Luke Hodge,156876,LB,TROY,6,44,0,318,0,,,42.9,,,0,1,,76.8,0,,,0,1,0.0,0,3,6.8,7,0,0,0,0,0,0,0.0,,0,1,-4.0,100.0,87.1,6.0,6.0,0,0,0.0,67.1,0,15,0.0,0,0,125.0,4,27,61.4,31,3,3,4,1,18,34,0.8,4.5
Bryan McCoy Jr.,156889,LB,OKLA STATE,6,152,0,262,2,0.8,75.0,54.3,8.3,6.3,0,0,0.0,46.9,0,6,0.0,0,0,116.7,3,25,16.4,46,0,0,4,1,10,12,0.4,3.3,0,3,4.3,75.0,95.8,12.1,9.1,0,0,0.0,49.8,0,51,35.7,5,0,103.5,9,113,74.3,118,2,6,12,0,112,78,1.0,12.4
DeJuan Echoles Jr.,156900,ED,BALL ST,5,10,0,117,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,10,0,0,0,0,0,0,,,0,1,-2.0,100.0,13.3,8.0,8.0,0,0,0.0,63.2,0,12,25.0,1,0,116.7,1,8,80.0,60,5,2,1,0,12,14,1.5,12.0
Canaan Williams,156908,S,KENT STATE,5,80,0,201,0,0.0,100.0,69.2,8.0,8.0,0,0,0.0,72.0,0,3,0.0,0,0,79.2,1,9,11.3,13,1,1,1,0,3,3,0.4,3.0,0,1,6.6,85.7,91.2,8.5,7.3,0,0,0.0,67.4,0,38,0.0,0,0,149.1,6,52,65.0,57,3,5,7,1,72,24,1.4,12.0
Malachi McLean,156929,S,UCONN,3,102,0,146,0,19.5,0.0,100.0,,14.5,0,0,0.0,60.7,0,,,0,0,39.6,0,31,30.4,31,0,0,2,0,0,0,0.0,,0,1,11.0,33.3,92.3,48.0,16.0,0,0,0.0,64.0,0,3,60.0,3,0,42.4,1,48,47.1,52,2,1,3,0,3,8,0.1,3.0
Buddha Peleti,156933,ED,WASH STATE,6,5,0,341,0,,,3.2,,,0,0,,61.0,0,,50.0,1,0,0.0,0,1,20.0,31,1,1,0,0,0,0,0.0,,0,1,6.0,100.0,8.3,3.0,3.0,0,0,0.0,50.3,0,12,0.0,0,0,116.7,1,3,60.0,36,1,0,1,0,12,6,4.0,12.0
Keyshaun Elliott,156945,LB,ARIZONA ST,6,139,0,110,1,6.3,25.0,93.1,23.0,5.8,0,0,0.0,50.0,0,13,25.0,1,0,40.6,1,27,19.4,29,1,2,4,0,13,5,0.6,13.0,0,5,3.8,90.0,96.0,10.3,9.3,0,0,0.0,52.6,0,33,7.7,1,0,143.3,9,96,69.1,100,5,7,10,1,104,70,1.1,11.6
Gabe Peterson,156950,ED,NEW MEX ST,4,12,0,242,0,,,36.4,,,0,0,,62.4,0,,,0,0,0.0,0,4,33.3,11,0,0,0,0,0,0,0.0,,0,1,,,4.5,,,0,0,,64.2,0,,0.0,0,0,0.0,0,3,25.0,67,0,1,0,0,0,0,0.0,
Donovan Hinish,156961,DI,NOTRE DAME,6,2,0,258,0,,,1.7,,,0,0,,59.9,0,,,0,0,0.0,0,1,50.0,59,1,0,0,0,0,0,0.0,,0,0,,,2.0,,,0,0,,59.3,0,,100.0,2,0,0.0,0,1,50.0,49,0,0,0,0,0,0,0.0,
Jaden Mickey,156969,S,BOISE ST,3,64,0,120,0,15.7,0.0,96.2,,7.7,0,1,33.3,71.9,0,,0.0,0,1,39.6,0,25,39.1,26,1,1,3,0,0,0,0.0,,0,0,2.7,100.0,88.6,10.0,10.0,0,1,33.3,92.7,0,6,0.0,0,1,79.2,3,31,48.4,35,2,3,3,0,9,1,0.3,3.0
Jaylen Sneed,156972,LB,NOTRE DAME,6,56,0,258,0,,,60.0,,,0,0,,58.0,0,,,0,0,0.0,0,24,42.9,40,2,0,0,0,0,0,0.0,,0,0,2.5,100.0,72.5,6.5,6.5,0,0,0.0,70.2,0,15,16.7,1,0,100.0,4,29,51.8,40,3,5,4,0,32,22,1.2,8.0
Aiden Gobaira,156974,ED,JAMES MAD,6,2,0,197,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,33,0,0,0,0,0,0,,,0,0,,,2.8,,,0,0,,60.3,0,,0.0,0,0,0.0,0,1,50.0,36,2,1,0,0,0,0,0.0,
Joshua Burnham,156977,ED,NOTRE DAME,5,2,0,258,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,17,0,0,0,0,0,0,,,0,0,,,11.8,,,0,0,,60.6,0,,,0,0,0.0,0,2,100.0,17,0,0,0,0,0,0,0.0,
Junior Tuihalamaka,156982,ED,NOTRE DAME,6,2,0,258,0,-5.0,100.0,2.0,1.0,1.0,0,0,0.0,71.1,0,-4,0.0,0,0,79.2,1,1,50.0,49,1,1,1,0,-4,1,-4.0,-4.0,0,0,,,3.1,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,32,0,0,0,0,0,0,,
Jayden Bellamy,156984,CB,UCF,6,140,0,323,0,13.2,45.5,98.1,9.8,4.5,0,3,27.3,64.8,0,20,0.0,0,2,93.0,5,52,37.1,53,0,3,11,1,60,9,1.2,12.0,0,1,10.1,27.3,98.7,23.7,6.5,0,3,27.3,81.0,1,5,0.0,0,1,1.7,3,76,54.3,77,1,5,11,0,14,14,0.2,4.7
Malachi Davis,156997,ED,TOLEDO,6,14,0,316,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,30,1,0,0,0,0,0,,,0,0,0.0,100.0,13.7,4.5,4.5,0,0,0.0,69.3,0,7,0.0,0,0,79.2,2,10,71.4,73,4,3,2,0,2,2,0.2,1.0
Avery Smith,157000,CB,TOLEDO,6,166,0,316,0,20.0,0.0,100.0,,5.6,0,5,71.4,73.2,0,,33.3,1,3,39.6,0,43,25.9,43,0,2,7,0,0,0,0.0,,0,1,10.1,47.1,98.2,12.9,6.1,0,3,17.6,62.4,0,14,40.0,4,2,53.8,8,109,65.7,111,2,5,17,0,32,15,0.3,4.0
Jehiem Oatis,157002,DI,COLORADO,5,1,0,143,0,,,6.7,,,0,0,,59.4,0,,,0,0,0.0,0,1,100.0,15,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,25,0,0,0,0,0,0,,
Jeremiah Alexander,157005,LB,CLEMSON,5,22,0,140,0,5.0,0.0,77.8,,7.0,0,0,0.0,61.9,0,,,0,0,39.6,0,7,31.8,9,0,0,1,0,0,0,0.0,,0,0,1.2,66.7,56.5,3.3,2.2,1,1,16.7,59.3,0,14,0.0,0,1,82.6,4,13,59.1,23,0,1,6,0,36,47,2.8,9.0
Shawn Murphy,157006,LB,S CAROLINA,6,84,0,289,0,0.0,66.7,87.5,13.5,9.0,0,0,0.0,62.4,0,11,50.0,1,0,75.7,2,28,33.3,32,1,1,3,0,13,13,0.5,6.5,0,1,3.8,50.0,80.0,21.0,10.5,0,0,0.0,54.1,0,7,25.0,1,0,56.3,2,44,52.4,55,0,2,4,0,12,8,0.3,6.0
Tre'Quon Fegans,157009,CB,JVILLE ST,6,113,0,196,2,10.5,33.3,92.5,17.5,5.8,1,3,50.0,63.5,0,13,0.0,0,1,45.1,2,37,32.7,40,0,1,6,0,22,10,0.6,11.0,0,1,6.7,42.9,94.2,21.0,9.0,0,0,0.0,68.8,0,30,14.3,1,0,71.1,3,65,57.5,69,2,5,7,0,56,45,0.9,18.7
Jaylen Lewis,157018,S,W KENTUCKY,6,189,0,346,0,2.0,100.0,98.8,72.0,72.0,1,0,0.0,74.3,1,11,0.0,0,0,72.9,1,79,41.8,80,0,5,1,0,11,9,0.2,11.0,0,0,15.1,57.1,100.0,19.5,11.1,0,1,14.3,75.1,0,14,0.0,0,1,66.4,4,83,43.9,83,1,2,7,0,28,5,0.4,7.0
Anthony Brown,157019,S,S ALABAMA,2,23,0,288,0,,,100.0,,,0,0,,61.4,0,,,0,0,0.0,0,3,13.0,3,0,0,0,0,0,0,0.0,,0,0,14.7,33.3,100.0,14.0,4.7,0,0,0.0,46.8,0,27,0.0,0,0,67.4,1,14,60.9,14,0,3,3,0,27,3,1.9,27.0
Mani Powell,157027,LB,PURDUE,6,139,0,273,0,10.5,50.0,69.2,26.0,13.0,0,0,0.0,56.4,0,7,50.0,1,0,58.3,1,27,19.4,39,1,1,2,0,7,3,0.3,7.0,0,0,2.4,70.0,75.0,12.3,8.6,1,1,10.0,62.0,0,63,38.5,5,1,103.7,7,90,64.7,120,7,8,10,0,104,79,1.2,14.9
Jordan Crook,157032,LB,ARIZONA ST,6,150,0,110,0,1.5,50.0,84.8,23.0,11.5,0,0,0.0,53.0,0,13,0.0,0,0,70.8,1,28,18.7,33,1,1,2,0,13,4,0.6,13.0,0,7,2.9,66.7,94.6,16.5,11.0,0,0,0.0,65.8,0,11,22.2,4,0,70.1,6,105,70.0,111,3,7,9,0,20,17,0.2,3.3
JD Rhym,157039,CB,HOUSTON,1,3,0,182,0,,,100.0,,,0,0,,51.0,0,,100.0,1,0,0.0,0,2,66.7,2,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,1,0,0,0,0,0,0,0.0,
Robert Woodyard Jr.,157047,LB,AUBURN,6,82,0,115,0,5.0,100.0,60.0,17.0,17.0,0,0,0.0,53.0,0,6,,0,0,91.7,1,18,22.0,30,0,0,1,0,6,1,0.4,6.0,0,0,5.7,100.0,92.2,15.0,15.0,0,0,0.0,70.6,0,16,16.7,1,0,112.5,3,47,57.3,51,2,5,3,0,33,16,0.7,11.0
Caleb Wooden,157051,S,ARKANSAS,6,150,0,111,1,7.0,100.0,96.6,49.0,49.0,0,0,0.0,64.4,0,64,0.0,0,0,118.8,1,56,37.3,58,0,2,1,0,64,57,1.3,64.0,0,0,9.3,75.0,97.6,26.3,19.8,0,0,0.0,63.1,0,42,33.3,2,0,116.7,3,82,54.7,84,1,4,4,0,52,9,0.7,17.3
CJ Madden,157062,ED,PURDUE,6,7,0,273,0,,,6.3,,,0,0,,60.3,0,,,0,0,0.0,0,2,28.6,32,0,0,0,0,0,0,0.0,,0,1,,,2.2,,,0,0,,61.4,0,,0.0,0,0,0.0,0,2,28.6,93,1,0,0,0,0,0,0.0,
Bear Alexander,157064,DI,OREGON,6,1,0,264,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,27,0,0,0,0,0,0,,,0,0,,,1.6,,,0,0,,59.4,0,,,0,0,0.0,0,1,100.0,63,0,0,0,0,0,0,0.0,
Terrell Foster,157075,LB,GEORGIA,3,27,0,173,0,,,55.6,,,0,0,,62.9,0,,,0,0,0.0,0,5,18.5,9,0,0,0,0,0,0,0.0,,0,0,-0.5,100.0,82.6,8.5,8.5,0,0,0.0,63.0,0,13,,0,0,104.2,2,19,70.4,23,0,0,2,0,18,19,1.1,9.0
JaCorey Thomas,157078,S,GEORGIA,6,85,0,173,0,16.5,50.0,100.0,18.0,9.0,0,0,0.0,51.3,0,9,0.0,0,0,62.5,1,23,27.1,23,0,1,2,0,9,7,0.5,9.0,0,1,16.0,0.0,100.0,,57.0,0,0,0.0,72.9,0,,0.0,0,0,39.6,0,59,69.4,59,0,4,1,0,0,0,0.0,
